Date,Venue,Song
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Crimson and Clay
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,24 Frames
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Gravelweed
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Traveling Alone
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,This Ain't It
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Bury Me
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Dreamsicle
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Eileen
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Miles
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Middle of the Morning
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Outfit (Drive-By Truckers cover)
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Cast Iron Skillet
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Alabama Pines
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Open and Close
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Overseas
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,If We Were Vampires
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Decoration Day (Drive-By Truckers cover)
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,Ride to Robert's (with Sadler)
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,True Believer
2025-04-09,St. Augustine Amphitheatre - St. Augustine FL,King of Oklahoma
2025-10-25,Ryman Auditorium - Nashville TN,It Gets Easier
2025-10-25,Ryman Auditorium - Nashville TN,Hope the High Road
2025-10-25,Ryman Auditorium - Nashville TN,Speed Trap Town
2025-10-25,Ryman Auditorium - Nashville TN,Bury Me (bluegrass version)
2025-10-25,Ryman Auditorium - Nashville TN,Volunteer
2025-10-25,Ryman Auditorium - Nashville TN,Songs That She Sang in the Shower
2025-10-25,Ryman Auditorium - Nashville TN,King of Oklahoma
2025-10-25,Ryman Auditorium - Nashville TN,Dress Blues
2025-10-25,Ryman Auditorium - Nashville TN,Strawberry Woman
2025-10-25,Ryman Auditorium - Nashville TN,Traveling Alone
2025-10-25,Ryman Auditorium - Nashville TN,Decoration Day (Drive-By Truckers cover)
2025-10-25,Ryman Auditorium - Nashville TN,Live Oak
2025-10-25,Ryman Auditorium - Nashville TN,Alabama Pines
2025-10-25,Ryman Auditorium - Nashville TN,Cigarettes and Wine (dedicated to Traci Thomas' birthday)
2025-10-25,Ryman Auditorium - Nashville TN,Flying Over Water
2025-10-25,Ryman Auditorium - Nashville TN,If We Were Vampires
2025-10-25,Ryman Auditorium - Nashville TN,Something to Love
2025-10-25,Ryman Auditorium - Nashville TN,Never Gonna Change (Drive-By Truckers cover)
2025-10-25,Ryman Auditorium - Nashville TN,The Shape I'm In (The Band cover - first time played)
2025-10-25,Ryman Auditorium - Nashville TN,Cast Iron Skillet
2025-10-25,Ryman Auditorium - Nashville TN,Super 8
2023-01-19,Walt Disney Theater - Orlando FL,What've I Done to Help
2023-01-19,Walt Disney Theater - Orlando FL,Hope the High Road
2023-01-19,Walt Disney Theater - Orlando FL,Dreamsicle
2023-01-19,Walt Disney Theater - Orlando FL,24 Frames
2023-01-19,Walt Disney Theater - Orlando FL,It Gets Easier
2023-01-19,Walt Disney Theater - Orlando FL,Last of My Kind
2023-01-19,Walt Disney Theater - Orlando FL,Traveling Alone
2023-01-19,Walt Disney Theater - Orlando FL,Be Afraid
2023-01-19,Walt Disney Theater - Orlando FL,Only Children (dedicated to David Crosby)
2023-01-19,Walt Disney Theater - Orlando FL,Overseas
2023-01-19,Walt Disney Theater - Orlando FL,Alabama Pines
2023-01-19,Walt Disney Theater - Orlando FL,Elephant
2023-01-19,Walt Disney Theater - Orlando FL,Honeysuckle Blue (Drivin' n' Cryin' cover - Sadler on vocals)
2023-01-19,Walt Disney Theater - Orlando FL,Speed Trap Town
2023-01-19,Walt Disney Theater - Orlando FL,Stockholm
2023-01-19,Walt Disney Theater - Orlando FL,Flying Over Water
2023-01-19,Walt Disney Theater - Orlando FL,Cover Me Up
2023-01-19,Walt Disney Theater - Orlando FL,If We Were Vampires
2023-01-19,Walt Disney Theater - Orlando FL,Decoration Day (Drive-By Truckers cover)
2023-10-22,Ryman Auditorium - Nashville TN,King of Oklahoma
2023-10-22,Ryman Auditorium - Nashville TN,Hope the High Road
2023-10-22,Ryman Auditorium - Nashville TN,Something More Than Free
2023-10-22,Ryman Auditorium - Nashville TN,When We Were Close
2023-10-22,Ryman Auditorium - Nashville TN,Stockholm
2023-10-22,Ryman Auditorium - Nashville TN,Last of My Kind
2023-10-22,Ryman Auditorium - Nashville TN,Strawberry Woman
2023-10-22,Ryman Auditorium - Nashville TN,Save the World
2023-10-22,Ryman Auditorium - Nashville TN,Decoration Day (Drive-By Truckers cover)
2023-10-22,Ryman Auditorium - Nashville TN,Middle of the Morning
2023-10-22,Ryman Auditorium - Nashville TN,Alabama Pines
2023-10-22,Ryman Auditorium - Nashville TN,If You Insist
2023-10-22,Ryman Auditorium - Nashville TN,Super 8
2023-10-22,Ryman Auditorium - Nashville TN,24 Frames
2023-10-22,Ryman Auditorium - Nashville TN,Honeysuckle Blue (Drivin' n' Cryin' cover)
2023-10-22,Ryman Auditorium - Nashville TN,Cast Iron Skillet
2023-10-22,Ryman Auditorium - Nashville TN,Miles
2023-10-22,Ryman Auditorium - Nashville TN,Cover Me Up
